P01901859A0000|0 64|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P01423454A0309|15 19|ANCA
P10022867A1069b|15 19|ETH1
P11557127A0991|15 19|NF-Y
P07518426A0000|15 19|IL-8
P10620010A1155|15 19|Cdks
P09079650A0136|15 19|MAPK
P11278583A0873|15 19|SNT1
P08264579A1209|15 19|PTR2
P01661369A0825|15 19|strD
P10938135A0259|15 19|SMRT
P10747782A0390|15 19|Mbp1
P09478921A0126|15 19|p210
P09315651T0000|15 19|AP-2
P10022867A1069a|15 19|ETH1
P08626809A0729|15 19|pPKR
P11439343A0785|15 19|MPc3
P09452444A0000|15 19|IL-6
P07624119A0528|15 19|PAX3
P07521009A0377|15 19|pms1
P07563072A0773|15 19|rrnB
P11149472A1257|15 19|NMP4
P00947834X0000|15 18|IgE
P09121430A0132|15 18|Ras
P10068637A1320|15 18|Csx
P09131139T0000|15 18|PAF
P02372712A0002|15 18|tap
P01457380A0000|15 18|ttk
P08164684A1266|15 18|RXR
P10660304A0522|15 18|JAK
P08692885A0663|15 18|A20
P11069756A2618|15 18|CAS
P08605705A0676|15 18|IgM
P10906176A0000|15 18|ETn
P09426183A0000|15 18|Rel
P07853524A1944|15 18|GST
P11046148A0716|15 18|Lyn
P08317094A0778|15 18|F3R
P01736093A0731|15 18|CAT
P10835485A0941|15 18|SH3
P01406630A0965|15 18|p50
P10454533A0859|15 18|HRI
P09649426A0636|15 18|PKA
P07828584A0681|15 18|IM1
P08868473A1287|15 18|p28
P09348226A0852|15 18|EGF
P02204810A1080|15 18|GA2
P08756332A0000|15 18|Ras
P01420363T0000|15 18|AP1
P07491111A0221|15 17|GR
P10943891A1062|15 17|U6
P07925097A1205|15 17|AR
P09011745T0000|16 94|chick brain alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptors
P10736161T0000|16 60|phosphoenolpyruvate:sugar phosphotransferase
P06096380A0662|16 59|cytosolic phosphoenolpyruvate carboxykinase
P07594592A0755|16 49|NF-IL6 beta leucine zipper domain
P03280807A1447|16 47|suf12-null/SUF12+ heterozygotes
P04990556T0000|16 46|horse anti-lymphocyte globulin
P02326946T0000|16 43|cholesterol acyltransferase
P11161793A1033|16 43|truncated receptor isoforms
P07935375A1197|16 42|dominant-negative ras gene
P09733815T0000|16 42|latent membrane protein 2A
P11083868A0386|16 41|glutathione S-transferase
P11278671T0000|16 39|Bcl-2 homology 3 domain
P01400401A0065|16 38|AMP deaminase variants
P08995054A1368|16 38|HeT-A coding sequences
P10201468A0297|16 38|immunoreactive insulin
P00001606T0076|16 37|alkaline phosphatases
P09668098A0868|16 37|human FGF-BP promoter
P08001136T0000|16 37|CDK-activating kinase
P00030937A0119|16 36|alkaline phosphatase
P10527426A0521|16 36|SBEI gene transcript
P09797456A0000|16 36|c-myc proto-oncogene
P08628302A0683|16 36|transcription factor
P10516878T0000|16 36|dopamine D2 receptor
P07876210A0751|16 35|P450BM-3 Barbie box
P08386280T0000|16 35|C/EBP binding sites
P09042755T0000|16 35|sigma factor sigmaB
P06546392A0542|16 34|C reactive protein
P10446910A0147|16 34|E2F1 gene promoter
P03692331A0000|16 33|beta-adrenoceptor
P07579328A0653|16 33|CAT reporter gene
P09533030T0000|16 32|human complex II
P06810694A0328|16 31|HDL-cholesterol
P10458914A0674|16 31|mouse STAP gene
P00304806A0760|16 30|serum alpha1AT
P11391531A1157|16 30|NF-kappaB site
P07947930A0499|16 30|serum proteins
P07478525A1177|16 30|MHBst proteins
P09837907A0857|16 29|TNF receptors
P01723962A0165|16 28|serum lipase
P05529283T0000|16 28|exocrine IgA
P02674679A1237|16 27|S1 nuclease
P11056019A0926|16 27|glycosylase
P07779811A0901|16 27|Sp1 element
P02839716A0673|16 27|E2 proteins
P07761091A0294|16 27|MAP kinases
P02830282A0155|16 26|A1 protein
P10918059A0569|16 26|RVH domain
P09620273A0189|16 26|Rb protein
P11486476A1512|16 26|troponin T
P02324104A0929|16 25|C subunit
P08432696A1117|16 25|apeA gene
P09315631A1064|16 25|POR2 gene
P09259313A0950|16 25|PI kinase
P07959734A0194|16 25|contactin
P01850096A0662|16 24|myogenin
P09105530A0000|16 24|lysozyme
P08550462A0815|16 24|dra gene
P10805286A0914|16 24|PCI mRNA
P03682805A0375|16 23|albumin
P11462004A0886|16 23|Vp1 DBD
P10777217A0536|16 23|p73beta
P07816049A0686|16 22|AKin10
P10838139A1447|16 22|Ha-ras
P08631797A0982|16 22|ErbB-2
P09414319A1442|16 22|Surf-4
P01582413A0759|16 21|Myf-5
P09435789A0961a|16 21|RAD24
P07559555A0557|16 21|c-Jun
P11133741A0617|16 21|MCP-1
P10505694A0000|16 21|IL-12
P07623844A0639|16 21|Bcl-2
P02843495A0544|16 21|v-fms
P02998016A0527|16 21|v-mil
P02209540A1362|16 20|Ets1
P09918715A1158|16 20|MotA
P09925372A0458|16 20|ZFPs
P10722661A0406|16 20|CYC2
P07800479A0201|16 20|NSR1
P10733569A0364|16 20|HSFs
P10713161A0985|16 20|Ulp2
P09407031A0557|16 20|Crb2
P08278548A0597|16 20|psaH
P11470914A0305|16 20|Rac1
P02557217A0000|16 20|ACTH
P09572428A0526|16 20|VEGF
P09537651A0366|16 20|PEA3
P08001792A0284|16 20|git5
P08566773A1023|16 20|CTS1
P10471696A0734|16 20|SAS4
P09489670A1157|16 20|HST6
P09514272A0482|16 20|MvaT
P11318608A1155|16 20|EGFP
P11319880A1108|16 20|mTOR
P07695629A0489|16 20|mck1
P10320579A1831|16 20|FlgN
P02555177A0488|16 20|LEU2
P00603783A0647|16 19|IgG
P07705627A1107|16 19|Mad
P09662339A0744|16 19|ras
P09765388T0000|16 19|p53
P09671579A1168|16 19|noi
P09757012A0942|16 19|PDZ
P08321203A0840|16 19|p50
P10489680A0927|16 19|MPO
P09645942A1164|16 19|Dsg
P09819288A0578|16 19|IgE
P09642276A0881|16 19|Fak
P09029159A0000|16 19|IFN
P09040011A1316|16 19|lck
P08289831A0290|16 19|CAT
P08212571A0971|16 19|gag
P07592706A1465|16 19|LPL
P10543728A0358|16 19|E1A
P08774732A0271|16 19|Sp1
P09019302A0600|16 19|PLP
P09488486A0906|16 19|TBP
P08530503A1004|16 19|ARP
P09000049A1341|16 19|Mnt
P08876167A0717|16 19|cut
P08676456A0879|16 19|Tat
P08119958A0273|16 18|C2
P09093867T0000|16 18|Ds
P11282394A0841|16 18|VH
P09706565A1072|16 17|M
P07914700A0000|17 57|RNA-dependent eIF-2 alpha protein kinase
P06795832A0148|17 49|Hepatitis A HBs- and HBe-antigen
P11276426A0501|17 49|Mad member interacting protein 1
P10025506A0079|17 49|tissue-specific plastin isoforms
P08654983A0000|17 44|signal recognition particle
P02052544A0641|17 42|DNA polymerase II complex
P02967915A0968|17 40|calbindin-D28K promoter
P06833422T0000|17 40|20 alpha-hydroxy-9 beta
P08621659A0189|17 40|NH2-terminal Gla domain
P11025367A1009|17 39|plasma cholecystokinin
P08497259A0452|17 38|SUP4A53T61 transcript
P07537851A0891|17 37|recombinant proteins
P08896590T0000|17 37|adenovirus late RNAs
P00219565A0172|17 36|hepatitis B antigen
P04976988T0000|17 36|human serum albumin
P02565807A1198|17 35|neu proto-oncogene
P09045842T0000|17 35|alpha and sigma-70
P10347197A0502|17 35|urokinase promoter
P03989827T0000|17 35|lactase phenotypes
P01886774A0000|17 34|POU-homeo domains
P03915540A0863|17 34|gcd1-101 mutation
P08816453A0000|17 34|cyclic AMP (cAMP)
P07875595A0910|17 33|PITSLRE PK genes
P10681588A0899a|17 33|nuclear proteins
P10681588A0899b|17 33|nuclear proteins
P09430668A0172a|17 33|HMG-CoA synthase
P05567721T0000|17 32|thromboplastins
P10455183A0530|17 32|xtRNA(Sec) gene
P09018122A1389|17 32|ORF-1 sequences
P09891092A1000|17 32|Sm-binding site
P08630599A0534|17 32|elastin peptide
P02353453A1249|17 31|helicase motif
P10683244A0939|17 31|NBF1+R protein
P08599945T0000|17 31|alpha-amanitin
P11238105A0959|17 31|alpha subunits
P08704124A0420|17 30|six fragments
P10541432A0185|17 30|erbB proteins
P09188699A1388|17 30|SP-A isoforms
P11157763T0000|17 30|EMAPII domain
P10228009A0600|17 30|CINC promoter
P10487753A0788|17 30|XDRP1 protein
P01537845A0571|17 29|murine c-myb
P01828248A0189|17 29|UvrA protein
P08307338A0227|17 29|nuclear gene
P06152670T0000|17 29|pancreozymin
P01371413A0742|17 28|hGCSFR gene
P01674817T0000|17 28|yeast RNA14
P08639561T0000|17 28|human N-ras
P03280807A0000|17 28|suf12 locus
P10224257A0079|17 28|her-1 mRNAs
P00985279A0493|17 27|hemoglobin
P07706396T0000|17 27|VPS45 gene
P03814493T0000|17 27|interferon
P10477620A0580|17 27|NF-kappa B
P08129955A0572|17 27|troponin T
P01172734T0035|17 26|HL-A W-27
P07846163A0422|17 26|GRF genes
P09482902A0942|17 26|wild-type
P10932196A0359|17 26|RP2 locus
P10051488A1610|17 26|AP-1 site
P08325504A0226|17 26|RD21 mRNA
P11093745A0563|17 26|HNF3 site
P07559639A0996|17 26|R206S HSF
P09088371T0000|17 26|protein C
P10490816A0000|17 25|RET gene
P10660604A0748|17 25|RXRalpha
P01276105A0313|17 24|insulin
P07540866A1069|17 24|insulin
P01378052A0594|17 24|acoXABC
P09545293A0590|17 24|lumican
P08603921A1346|17 24|Spc110p
P02307850A1197|17 23|RNKP-1
P09305944A0621|17 23|RanGAP
P03046931A0247|17 23|eIF-4A
P09756895A0322|17 23|chCTCF
P03911052A0909|17 23|DIL-CP
P01429836A1205|17 22|Vps1p
P08034486A0579|17 22|HSV-2
P08955189A1198|17 22|BglII
P09012405A0785|17 22|TTD-A
P11094072A1234|17 22|c-Myb
P08420571A1880|17 22|PACE4
P08570615T0000|17 22|E2F-1
P09862343A0225|17 22|gp200
P08063836A0904|17 22|c-Abl
P01446828A1088|17 21|ADH5
P08978690A0262|17 21|Rad3
P07814321A0850|17 21|prfA
P08836740A1025|17 21|CES4
P11222720A1699|17 21|RPMS
P10831972A0744|17 21|CD23
P09927570A0507|17 21|RNU2
P08763953A0805|17 21|traA
P02330333A0325|17 21|Tl+1
P00917572T0001|17 20|TSH
P08622645A1026|17 20|VDR
P07859739T0000|17 20|Cdk
P08825554A0000|17 20|TTP
P08139539A0446|17 20|m1R
P11006283A1180|17 20|p64
P08702756A0000|17 20|Rho
P09647240A0000|17 20|p53
P09541280A0404|17 20|IgE
P03381039A0364|17 20|MAN
P09553040A0651|17 20|Epo
P08082440A0339a|17 20|FSH
P07926775A0895|17 19|en
P09261155A0833|17 19|PH
P10498616A0157|17 18|M
P11160656A0000|18 86|human cytomegalovirus (HCMV) major immediate-early regulatory region
P02522297A0000|18 75|thromboxane A2 (TXA2)/prostaglandin endoperoxide receptor
P07513703T0000|18 61|SH2-containing protein tyrosine phosphatase
P08647822T0000|18 59|sterol regulatory element binding protein
P09705564T0000|18 58|human papillomavirus type 11 E5A protein
P09851700A0000|18 57|human tissue-type plasminogen activator
P02883963A0000|18 56|human T-cell lymphotropic virus type I
P03035218T0000|18 54|p40x-responsive regulatory sequences
P08029334T0000|18 54|plant omega-3 fatty acid desaturases
P06321770A1353|18 51|chloramphenicol acetyltransferase
P09115365A0000|18 50|human heat shock protein 70 gene
P01876836T0000|18 49|Ets- and notch-related subunits
P09368419A0628|18 49|MYC-related DNA binding protein
P08649424A0000|18 48|phenylalanine hydroxylase gene
P07534306A0444|18 46|His6-tagged GrsA derivatives
P00918556A0000|18 45|hepatitis B surface antigen
P06795900A0000|18 44|fatty acid cyclo-oxygenase
P08887674A0630|18 44|DMP1 recognition sequences
P07522163T0000|18 44|horse cytochrome c peptide
P09501093A0071|18 43|mitogen activated protein
P11158288T0000|18 43|RNA polymerase II complex
P02187871T0000|18 42|Saccharomyces cerevisiae
P08887678A0000|18 42|proapoptotic protein Bax
P09373155T0000|18 42|dynein heavy chain genes
P08619866A0000|18 42|hepatocyte growth factor
P01333047A0404|18 41|epidermal growth factor
P11350812A0829|18 41|Raf-1 target ERK kinase
P08621664A1430|18 41|neurofilament L protein
P08759870A1128|18 40|fbpA operator sequence
P10762254A0954|18 40|TMA methyltransferases
P01904546A0671|18 39|chromosomal AAR1 gene
P02237431A0000|18 39|human T cell receptor
P06938948T0001|18 39|serum immunoglobulins
P09792439T0000|18 39|apolipoprotein B mRNA
P01378506A0884|18 38|full-deletion mutant
P09456312A1064|18 38|COOH-terminal domain
P01922082A0149|18 37|mouse TSH beta gene
P03035056T0000|18 37|kappa antibody gene
P08035505A0586|18 37|NS3'-5B polyprotein
P07576307A1654|18 37|ENK-specific motifs
P01717833T0000|18 36|alpha inhibin gene
P08128629A1164|18 36|5' LTR-linked gene
P10477583A0000b|18 36|B cell Ag receptor
P10477583A0000a|18 36|B cell Ag receptor
P03891766A1473|18 35|rheumatoid factor
P08254738A0428|18 35|mutant T antigens
P09418057A0684|18 35|Pto-like sequence
P06890622A0067|18 34|anti-vasopressor
P07977648A0880|18 34|TP53 transcripts
P07784061A0894|18 34|small G proteins
P01398140A0488|18 33|Xenopus U7 gene
P07748493A1045|18 33|Aplysia Afurin2
P08530432A0093|18 33|mutant proteins
P10477545T0000|18 33|pertussis toxin
P08861963A0375b|18 33|RNA polymerases
P09372924A0758|18 33|rhHR23 proteins
P01448806A0135|18 32|growth hormone
P09003462A0792|18 32|mutation sites
P10723723A0781|18 32|mouse promoter
P11152963A0000|18 32|src homology 3
P08670910A0156|18 32|DNA ligase III
P01714452A0559|18 31|human protein
P09655248A0000|18 31|LRP-2 protein
P09787323A0000|18 31|interleukin-6
P11251104A0526|18 31|alpha-amylase
P07588628A0318|18 31|wild-type p53
P08707424A0709|18 31|ERV3 env mRNA
P07859777A0000|18 31|serum albumin
P10601335A0892|18 31|mannosidase I
P07629150A0155|18 30|CYP11A1 gene
P09132011A0298|18 30|p50 sequence
P07697294A0329|18 30|HSP81-1 mRNA
P08384309A0000|18 30|basic region
P09307065A0553|18 30|MHC class II
P09154822T0000|18 30|Raf-1 kinase
P08576042A0765|18 30|HrcA protein
P10512857A0000|18 30|beta-catenin
P01788002T0001|18 29|hepatitis A
P09087430A1046|18 29|U1A peptide
P11207216A0719|18 29|PGHS-2 mRNA
P07790377A0561|18 29|human PTS1R
P09525598A0325|18 28|Raf kinase
P00088391A0181|18 27|factor IX
P09618481T0000|18 27|human p21
P01542667A0125|18 27|IFN-gamma
P10488147A1176|18 27|eotaxin-3
P10403575A1401|18 27|StAR gene
P10318859A0535|18 27|calpeptin
P07787179A0312|18 27|X1 region
P11134033A0639|18 27|int6Delta
P10409656A1016|18 27|H411 cDNA
P08683106A0374|18 27|IFN-alpha
P08421823A1041|18 27|protein S
P07806492A1162|18 27|cucumisin
P02164637A0515|18 27|IRA2 gene
P09197408A0126|18 27|facB gene
P00618078A0367|18 26|lysozyme
P11550795A2583|18 26|RORgamma
P11278610A0902|18 26|SOCS box
P01420363A0818|18 26|AP1 site
P11306463A0383|18 26|C domain
P11117523A0650|18 26|COUP-TFI
P09136015A0529|18 26|Stellate
P01662794A0640|18 26|wt1 gene
P07844201T0000|18 25|albumin
P10049912T0000|18 25|RNase T
P02562825A0413|18 24|beta-2
P09417108A0000|18 24|RanBP1
P07494244A0335|18 24|E1A243
P06402859A0000|18 24|AT III
P11030744A0763|18 24|Trdpm1
P10646863A0838|18 24|ICBP90
P01537334A0507|18 23|TRP-2
P08288596A0663|18 23|10(-8
P02982332T0001|18 23|VP-16
P09305631A0770|18 23|BAG-1
P09199167A0942|18 23|Sed5p
P09507032A1144|18 23|CSF1R
P07744846A1006|18 23|Bcl-2
P11103792A0755|18 23|c-Myc
P01939199A0588|18 23|TFIID
P09446616A0780|18 23|Raf-1
P09334330A0252|18 23|daf-3
P08387507A1015|18 23|Myf-5
P09111309A0674|18 23|Ets-2
P10763823A0824|18 23|mcl-1
P02236022A0000|18 23|c-myb
P08361761A0174|18 23|v-Rel
P10819327T0000|18 23|OSM-3
P01516829A0460|18 22|GAL4
P09288848A0780|18 22|HbO2
P11336698A0075|18 22|Rsc3
P07739566A1076|18 22|BSAP
P09852752A0950|18 22|ANCA
P09155024A0955|18 22|EFG1
P09892021A0712|18 22|PTTG
P08918885A1087|18 22|dig2
P07565713A0634|18 22|SCS1
P07700361A0125|18 22|pTyr
P09713996A0262|18 22|MDR1
P07730336A0606|18 22|CREM
P08816472T0000|18 22|Ste4
P02645276T0088|18 22|RIP1
P09949160A0600|18 22|Epo1
P07565776A0612|18 22|HOG1
P09927449A0421|18 22|POG1
P09278441A1777|18 22|CARP
P10823961A0664|18 22|TRBP
P10959838A0153|18 22|Fhit
P08846775A0110|18 22|Swi4
P01285358A0396|18 21|AFP
P09171239A2146|18 21|RXR
P09829843A0819|18 21|CSF
P11062257A0977|18 21|Vps
P08226798A1124|18 21|CaM
P07575416A0000|18 21|PKC
P10606245A0906|18 21|CDP
P11121434A0915|18 21|Mek
P08453101A0128|18 21|PWM
P09114972A1366|18 21|SOS
P08021177A0000|18 21|fes
P02368931A0587|18 21|IgE
P09535082A0537|18 21|Paf
P09687511A1091|18 21|FUS
P01653236A0895|18 21|p50
P10362652A1456|18 21|Sos
P03757294A0414|18 21|PLD
P11327698A0191|18 21|PKC
P10801482A0968|18 21|p65
P10943891A1062|18 21|U57
P09278494A0762|18 21|Sp1
P10882850A0000|18 21|Nth
P10881275T0000|18 21|IgM
P02176152A0896|18 20|RA
P07519481A1275|18 20|Sl
P07628451A0114|18 20|RA
P10194769A0146|18 20|1P
P09706565A1072|18 19|K
P11902781A0550|18 19|N
P08524229T0000|19 83|soybean ribulose-1,5-bisphosphate carboxylase small-subunit mRNA
P11706949T0000|19 57|insulin-like growth factor I receptors
P02423533A1314|19 56|MAP1-specific and MAP2-specific mRNAs
P10585440A0204|19 56|Drosophila melanogaster FAK homologue
P01846489A1119|19 55|picornaviral 3C-like protease domain
P07590268A0350|19 52|Drosophila melanogaster (Dm) cDNA
P11511544T0000|19 52|heat shock transcription factor 1
P09121430A0132|19 51|mitogen-activated protein kinase
P09838122A0489|19 51|full-length coding cDNA sequence
P08444345A0403|19 50|EFIA#1 amino acid (aa) sequence
P09643548A0000|19 50|(2Fe-2S) plant-like ferredoxins
P08246987A0260|19 49|protein-tyrosine kinase domain
P11435578A0760|19 49|cyclic AMP-responsive elements
P08387743A0624|19 49|wild-type 5'-regulatory region
P01744119A0757|19 48|primase recognition sequences
P08637006A0000|19 47|adenovirus E2-early promoter
P07848358A0254|19 45|aspartate aminotransferase
P08910292T0000|19 45|small GTP-binding proteins
P09609705A0895|19 44|mitochondrial bc1 complex
P09808155A0813|19 44|protein binding complexes
P06784123T0000|19 43|immunoglobulin C mu gene
P07823953A0777|19 42|I kappa B alpha mutants
P11556809A2085|19 42|CYP71D20-encoded enzyme
P08230445A0000|19 41|vpr open reading frame
P10579722T0000|19 41|myosin-binding subunit
P09244282A1371|19 41|pecT regulatory region
P07190627T0000|19 40|plasminogen activator
P11357063A1053|19 40|mammalian LHbeta gene
P11196199T0000|19 40|yeast Rad23 protein A
P10543949A0686|19 39|S1' specificity site
P10598101A0000|19 39|bZIP protein Opaque2
P07557091A0314|19 38|human serum albumin
P10077188A1172|19 38|helicase-like genes
P07797077A0842|19 37|DNA-binding domain
P09714835A0345|19 37|carboxypeptidase D
P09278454A1261|19 37|MMP-2 RE1 sequence
P09023197T0000|19 36|Bacillus subtilis
P10473598A0691|19 36|C-terminal region
P09294161A0650|19 36|wild-type protein
P07507207A0991|19 35|IRF binding site
P10698974A0951|19 35|human STAG3 gene
P01627830A0000|19 34|casein kinase-1
P10675154T0000|19 34|botulinum toxin
P08604338A0198|19 33|FLI-1 proteins
P07588608A1687|19 32|ERF repressor
P09312028A0975|19 32|RXRalphaF318A
P10229668A0190|19 32|cdc33 mutants
P09800187A0100|19 32|mouse homolog
P08636031A1413|19 32|Fur repressor
P07720572A0701|19 32|myoD promoter
P07501458A0578|19 31|C/EBP family
P08360180A1041|19 31|barley PSI-K
P10025050A1052|19 30|H2-receptor
P02026147A0000|19 29|calmodulin
P03104982A0690|19 29|hemoglobin
P00980255T0000|19 28|2-deoxy-D
P09990507A0000|19 28|ubiquitin
P09426183A0000|19 28|NF-kappaB
P02157141A0923|19 28|T antigen
P11220306A1753|19 28|rsmB+ DNA
P01967130A0645|19 28|EFIA cDNA
P11528500A0571|19 27|NRL gene
P11560509T0000|19 27|F factor
P01316680A0643|19 26|IR5 ORF
P11223186A1095|19 26|oIFNtau
P02713310T0000|19 26|type II
P00029953T0045|19 25|lipase
P09761791A0489|19 25|U1-70K
P11034547A0674|19 25|NBPhox
P01700272A0838|19 25|B4 RNA
P02853799T0001|19 24|non-A
P10448036A0748|19 24|zf4-6
P08013348A0143|19 24|SHBGs
P10712599A0349|19 24|IRF-1
P11000203A0752|19 24|K-Rev
P09799362A1463|19 24|Azf1p
P11238405A0817|19 24|tup11
P10506143A0610|19 24|JNKK2
P11016954A0438|19 24|QDE-2
P11323716A0413|19 24|RAD23
P07754713A0227|19 24|PRP21
P10360454A0916|19 24|TNF-a
P09685346A0419|19 24|Pitx2
P07829097A0000|19 24|DXS52
P09849961A0387|19 24|IRS-1
P01468625A0282|19 23|LEU2
P10729220A0000|19 23|IGF2
P01652372A0153|19 23|SWI5
P02342477A1292|19 23|UTMP
P11313946A0449|19 23|AF-6
P07667097A0267|19 23|p255
P02117799T0000b|19 23|OKT3
P02778873A0761|19 23|CRL3
P08909546A0810|19 23|PEA2
P09346925A0660|19 23|Grb2
P07854130A1387|19 23|PilE
P02289639A0989|19 23|HbA1
P09188094A0934|19 23|mcs4
P08643111A0855|19 23|hLL2
P11029045A0000|19 23|Cdc2
P10068637A1320|19 23|Nkx2
P02117799T0000a|19 23|OKT3
P09792714A1408|19 23|AF-1
P02547706A0928|19 22|ISH
P10660676A0000|19 22|cyc
P10702389A1148|19 22|RB2
P09860979A0521|19 22|Cas
P10498616A0157|19 22|Ras
P10660304A0522|19 22|Tyk
P09341193A0362|19 22|Sp1
P10397257A1142|19 22|CDE
P08631934A0000|19 22|Myb
P11312326A0169|19 22|RRE
P10965905A1618|19 22|Akt
P10799595A1454|19 22|CDP
P10205176A0000|19 22|NRs
P09622055A0207|19 22|Cbl
P07865129A0293|19 22|ATF
P07935471A0613|19 22|HSF
P09366517A0835|19 22|WT1
P03759330A0713|19 21|F1
P09837913A0000|19 21|D2
P11282394A0841|19 21|VL
P08918464A0225|19 21|Ba
P02206858A0000|19 20|C
P10501936T0000|20 80|Neurospora crassa mitochondrial outer membrane protein TOM70
P10564280A0140|20 59|tyrosine-phosphorylated nuclear protein
P02123029A0478|20 57|Raja immunoglobulin heavy chain genes
P09202859A0091|20 53|beta-human chorionic gonadotropin
P11126275A1068|20 52|anticardiolipin immunoglobulin G
P02789062A1420|20 51|NF-4FB enhancer binding protein
P02148799A0000|20 50|major negative regulatory gene
P09215891A0000|20 49|Saccharomyces cerevisiae CIN1
P09466931T0000|20 48|Drosophila nuclear receptors
P08425221A0000|20 47|cytoplasmic tyrosine kinase
P02748595A0492|20 44|baboon liver class I ADH
P11069756A2618|20 44|CRK-associated substrate
P09693035T0000|20 43|serine/threonine kinase
P03329716A0187|20 41|EGF receptor promoter
P07530502A0974|20 41|recombinant human SLF
P08441379A0912|20 41|proIL-1 beta cap site
P10403839A1459|20 41|bHLH/PAS family genes
P08438584T0000|20 41|coat protein promoter
P07681513A0000|20 41|phosphodiesterase III
P09300697A0000|20 41|multisubunit protease
P08597596A0135|20 40|ATP-binding cassette
P10688663A0207|20 40|histone tail domains
P11038317A0000|20 40|GTP-binding proteins
P02094257T0000|20 39|adenosine deaminase
P07592658A0309|20 39|DNA-binding complex
P09268652A0116|20 39|zinc finger protein
P01256410T0001|20 38|factor II molecule
P09564917A0900|20 38|alpha2-antiplasmin
P03605895A0888|20 37|carboxyhemoglobin
P07651424A0743|20 37|SSM1b transcripts
P10906176A0000|20 36|early transposon
P01779769A0000|20 35|repressor locus
P09271496T0000|20 35|HIV-1 integrase
P09583208A0171|20 35|creatine kinase
P07504171A1214|20 35|Src SH2 mutants
P01279352A1197|20 34|NF(H) promoter
P08589358A0841|20 34|erythropoietin
P09514962A0841|20 34|14-kDa protein
P07651340A0286|20 34|uvsH77 mutants
P01358190A0654|20 34|DR1 beta chain
P08663219A0246|20 34|rat PGS-2 gene
P04196986T0000|20 34|transferrin II
P01644814A0068|20 34|40-kDa protein
P02163382A0169|20 33|O7-LPS region
P08247005A0584|20 33|drs2 mutation
P08839832A0729|20 33|CD30v protein
P09192786T0000|20 33|human LU gene
P02863747T0000|20 33|histone genes
P09006022A0252|20 33|gene products
P09371622A0779|20 32|IE1 peptides
P01363166T0001|20 31|H2 receptor
P07608968A0836|20 31|Tat mutants
P08086450A0467|20 31|bovine gene
P09645942A1164|20 31|plakoglobin
P07489502A0000|20 31|NS1 protein
P09784192A1027|20 31|MBP fusions
P08093450A0688|20 31|NRF-1 motif
P07519447T0000|20 31|bovine gene
P01296815A0059|20 30|human gene
P07490770A0267|20 30|coxI genes
P09434185A0902|20 30|SPP1 genes
P11404016A1922|20 30|TE domains
P02076620A0548|20 30|fibrinogen
P08417331A0745|20 29|HIR1 gene
P10022921A0608|20 29|SIN3 gene
P08820642A0173|20 29|hrpZ gene
P11069999A1602|20 29|U16+ gene
P11029700A0295|20 29|Os;cycH;1
P09575187A1558|20 29|NF-kappaB
P09271417A0585|20 29|ERR alpha
P00622556A0111|20 28|collagen
P11071651A1308|20 28|RARalpha
P09181130A1067|20 27|Krox-20
P09582306T0000|20 27|Galphao
P08385581A0126|20 26|REC114
P11902781A0550|20 26|O3-)-N
P10727433A0560|20 26|CSF-1R
P09575143A1189|20 26|ZAP-70
P08534367A0984|20 26|PTP-S4
P09671579A1168|20 26|pax2.1
P00759400T0000|20 25|5-HT)
P10523319A0209|20 25|Dbp5p
P10438607A0330|20 25|SEBP2
P11427329A1077|20 25|FPS-R
P01671675A0483|20 25|pKB11
P07579704A0085|20 25|actin
P03428274A0000|20 25|NFIII
P08355696A0236|20 25|c-jun
P08668142A1048|20 25|hARF4
P09670034A0340|20 25|Ddc1p
P01398104A0834|20 25|CBF-A
P01715975A0885|20 24|CYP1
P11171320A0894|20 24|p120
P07926748A0383|20 24|NOT1
P07791776T0000|20 24|fus1
P07545510A0735|20 24|cotS
P06286443A0498|20 24|ACTH
P10051488A1293|20 24|AP-1
P07802655T0000|20 24|FIII
P07687541A0992|20 24|GNRP
P00909114A0000|20 23|DAN
P08771787T0000|20 23|LRP
P10430944A1298|20 23|JAK
P11278583A0873|20 23|IRS
P07487363A0447|20 23|IgE
P02026144A0741|20 23|GUS
P02038784A0317|20 23|ARC
P09478921A0126|20 23|bcr
P08290278A0374|20 23|Mad
P10620335A0749|20 23|AHR
P09148935A0805|20 23|PTK
P01918010A0000|20 23|LPL
P08394019A0695|20 23|GST
P11149472A1257|20 23|CIZ
P09000049A1341|20 23|Max
P09393966A0190|20 23|IgH
P02549343A1008|20 23|gpI
P10102136A0220|20 23|PSA
P10526670A1828|20 23|ICE
P02372712A0002|20 22|TW
P08567847A1005|20 22|SM
P08912232A0260|20 22|ML
P10411139A0887|20 22|U4
P07563072A0773|20 22|P1
P10872827A0000|20 22|PA
P11005831A0242|21 75|basic leucine zipper (bZIP)-type ABRE-binding proteins
P10381377T0000|21 62|rat SH2-containing inositol phosphatase 2
P01900194T0000|21 60|mitochondrial NADH-ubiquinone reductase
P01646157A0414|21 59|full-length alpha-GalNAc cDNA sequence
P01647656A0000|21 56|myocardial beta-adrenergic receptor
P09285789A0712|21 55|guanine nucleotide exchange factor
P07537851A0000|21 54|vascular cell adhesion molecule 1
P08661119A0085|21 53|human EP4 receptor gene sequence
